Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_30,MA_200,Volatility_30,Year,Month,Weekday
2014-01-02T00:00:00,17.12488747,17.24563163,17.09052235,17.20383595,234684800,,,,,,2014,1,Thursday
2014-01-03T00:00:00,16.74872589,17.14253582,16.7316971,17.1165305,392467600,-0.02196578378,,,,,2014,1,Friday
2014-01-06T00:00:00,16.84005165,16.92890588,16.52023496,16.63943147,412610800,0.005452698938,,,,,2014,1,Monday
2014-01-07T00:00:00,16.71961975,16.90290197,16.65398478,16.85212812,317209200,-0.007151516071,,,,,2014,1,Tuesday
2014-01-08T00:00:00,16.82550049,16.89051541,16.67782182,16.68153545,258529600,0.006332724002,,,,,2014,1,Wednesday
2014-01-09T00:00:00,16.6106472,16.93077326,16.57442361,16.92891479,279148800,-0.01276950346,,,,,2014,1,Thursday
2014-01-10T00:00:00,16.49979973,16.74314478,16.44314295,16.71311335,304976000,-0.006673278398,16.76703317,,,,2014,1,Friday
2014-01-13T00:00:00,16.58618355,16.79578195,16.40506732,16.40599655,378492800,0.005235446551,16.69007547,,,,2014,1,Monday
2014-01-14T00:00:00,16.91621208,16.92673788,16.64593084,16.66326881,332561600,0.01989779825,16.71400206,,,,2014,1,Tuesday
2014-01-15T00:00:00,17.25584793,17.3437746,17.0793762,17.13696224,391638800,0.02007753552,16.77340153,,,,2014,1,Wednesday
2014-01-16T00:00:00,17.15956306,17.24005917,17.07999454,17.17968709,229278000,-0.005579839757,16.83625058,,,,2014,1,Thursday
2014-01-17T00:00:00,16.7391243,17.09206771,16.71528499,17.07380215,426739600,-0.02450171749,16.82391112,,,,2014,1,Friday
2014-01-21T00:00:00,16.99919128,17.03015031,16.73138679,16.74903397,328526800,0.01553647499,16.87941742,,,,2014,1,Tuesday
2014-01-22T00:00:00,17.0747242,17.25367103,16.96017223,17.0561478,379985200,0.004443323917,16.96154949,,,,2014,1,Wednesday
2014-01-23T00:00:00,17.21931648,17.2292239,16.86730224,17.0261268,403239200,0.008468206191,17.05199705,,,,2014,1,Thursday
2014-01-24T00:00:00,16.9063015,17.20196795,16.86543343,17.15181251,429354800,-0.01817813062,17.05058125,,,,2014,1,Friday
2014-01-27T00:00:00,17.04345703,17.17658543,16.8963984,17.03014518,554878800,0.008112687027,17.02023969,,,,2014,1,Monday
2014-01-28T00:00:00,15.68121529,15.94437344,15.54406081,15.75118389,1065523200,-0.07992754888,16.80904715,,,,2014,1,Tuesday
2014-01-29T00:00:00,15.50320435,15.7081599,15.43726017,15.60227686,502810000,-0.01135185872,16.63248716,,,,2014,1,Wednesday
2014-01-30T00:00:00,15.473176,15.68122849,15.3778204,15.55862584,678501600,-0.001936912043,16.41448498,,,,2014,1,Thursday
2014-01-31T00:00:00,15.49855423,15.52734724,15.2802869,15.33075155,464797200,0.001640143383,16.18931784,,,,2014,1,Friday
2014-02-03T00:00:00,15.52734947,15.71930233,15.45831007,15.560787,401464000,0.001857930868,15.94760827,,,,2014,2,Monday
2014-02-04T00:00:00,15.75212193,15.77286599,15.56543358,15.66110001,376681200,0.01447590612,15.78272547,,,,2014,2,Tuesday
2014-02-05T00:00:00,15.86977196,15.95305412,15.67348538,15.6830836,328344800,0.007468837062,15.61505617,,,,2014,2,Wednesday
2014-02-06T00:00:00,15.96226692,15.99310187,15.81588325,15.88596132,257765200,0.005828373895,15.65520641,,,,2014,2,Thursday
2014-02-07T00:00:00,16.18558884,16.2868113,16.1139555,16.23853623,370280400,0.01399061398,15.75268991,,,,2014,2,Friday
2014-02-10T00:00:00,16.47554779,16.56898414,16.1332611,16.15381663,345559200,0.01791463732,15.89588588,,,,2014,2,Monday
2014-02-11T00:00:00,16.69262695,16.74837537,16.49142632,16.52599879,282256800,0.01317583885,16.06646769,,,,2014,2,Tuesday
2014-02-12T00:00:00,16.69137764,16.80474739,16.60790971,16.72345843,308100800,-0.00007484222573,16.23275743,,,,2014,2,Wednesday
2014-02-13T00:00:00,16.95643234,16.96951283,16.63781495,16.65214128,307398000,0.01587973794,16.40480178,16.51794624,,,2014,2,Thursday
2014-02-14T00:00:00,16.94272614,17.0047071,16.8561444,16.89538587,272924400,-0.0008083190496,16.55808095,16.5118742,,0.01926831505,2014,2,Friday
2014-02-18T00:00:00,17.00501442,17.16696862,16.99317811,17.00532546,260251600,0.003676402711,16.70704487,16.52041715,,0.01883196482,2014,2,Tuesday
2014-02-19T00:00:00,16.73654556,17.03304887,16.64248712,16.96639726,313768000,-0.01578762888,16.78575298,16.51696695,,0.01904456499,2014,2,Wednesday
2014-02-20T00:00:00,16.54281998,16.72502034,16.47585732,16.60012696,305858000,-0.01157500425,16.79536329,16.51107362,,0.01911862937,2014,2,Thursday
2014-02-21T00:00:00,16.35906219,16.64933627,16.33881771,16.59389722,278784800,-0.01110800832,16.74771118,16.49552568,,0.01917909473,2014,2,Friday
2014-02-24T00:00:00,16.43069267,16.50450827,16.27091912,16.29365528,288909600,0.004378642067,16.71047047,16.48952719,,0.01906380492,2014,2,Monday
2014-02-25T00:00:00,16.2597084,16.49360862,16.22669448,16.48769213,231952000,-0.0104063944,16.61093848,16.48152415,,0.0191197424,2014,2,Tuesday
2014-02-26T00:00:00,16.11301613,16.35127765,16.05851187,16.30798595,276217200,-0.009021826982,16.49240848,16.4657519,,0.01915441472,2014,2,Wednesday
2014-02-27T00:00:00,16.4344368,16.46900762,16.07252771,16.10647644,301882000,0.01994788977,16.41089739,16.44969273,,0.01915628159,2014,2,Thursday
